step,time,loss,acc
12600,2025-08-20T02:49:18.014836,1.397855e-02,9.921875e-01
12650,2025-08-20T02:49:28.426557,8.756299e-02,9.843750e-01
12700,2025-08-20T02:49:38.672497,4.855493e-03,1.000000e+00
12750,2025-08-20T02:49:48.916898,6.212673e-02,9.843750e-01
12800,2025-08-20T02:49:58.904311,4.168669e-02,9.921875e-01
12850,2025-08-20T02:50:08.888208,4.184408e-03,1.000000e+00
12900,2025-08-20T02:50:19.028539,2.252806e-02,9.921875e-01
12950,2025-08-20T02:50:29.461846,3.533980e-02,9.843750e-01
13000,2025-08-20T02:50:39.799481,5.627197e-03,1.000000e+00
13050,2025-08-20T02:52:43.530350,1.944019e-02,9.921875e-01
13100,2025-08-20T02:52:53.528369,8.710752e-02,9.843750e-01
13150,2025-08-20T02:53:03.658174,5.954332e-02,9.921875e-01
13200,2025-08-20T02:53:13.843843,4.142267e-02,9.921875e-01
13250,2025-08-20T02:53:23.961523,3.011645e-02,9.921875e-01
13300,2025-08-20T02:53:33.940456,3.530551e-02,9.921875e-01
13350,2025-08-20T02:53:43.884041,5.015082e-02,9.921875e-01
13400,2025-08-20T02:53:53.992775,4.516765e-02,9.921875e-01
13450,2025-08-20T02:54:04.806452,5.477861e-02,9.921875e-01
13500,2025-08-20T02:54:15.453902,6.249475e-03,1.000000e+00
13550,2025-08-20T02:56:19.917142,8.242589e-03,1.000000e+00
13600,2025-08-20T02:56:29.961750,2.711523e-03,1.000000e+00
13650,2025-08-20T02:56:40.238132,7.919357e-02,9.843750e-01
13700,2025-08-20T02:56:50.727935,3.118264e-02,9.921875e-01
13750,2025-08-20T02:57:00.797694,4.829042e-02,9.921875e-01
13800,2025-08-20T02:57:10.763399,4.100713e-02,9.921875e-01
13850,2025-08-20T02:57:20.843056,4.141077e-03,1.000000e+00
13900,2025-08-20T02:57:31.227633,3.553335e-02,9.921875e-01
13950,2025-08-20T02:57:41.582972,3.699745e-02,9.921875e-01
14000,2025-08-20T02:57:51.918014,2.316984e-02,9.921875e-01
14050,2025-08-20T02:59:46.130985,8.775281e-02,9.843750e-01
14100,2025-08-20T02:59:55.344818,6.327134e-02,9.921875e-01
14150,2025-08-20T03:00:04.528767,1.287225e-02,9.921875e-01
14200,2025-08-20T03:00:13.978300,4.729966e-02,9.921875e-01
14250,2025-08-20T03:00:23.444157,5.303174e-02,9.921875e-01
14300,2025-08-20T03:00:32.789592,1.615853e-02,9.921875e-01
14350,2025-08-20T03:00:41.986477,5.410173e-02,9.921875e-01
14400,2025-08-20T03:00:51.204457,5.595488e-03,1.000000e+00
14450,2025-08-20T03:01:00.483032,5.640639e-03,1.000000e+00
14500,2025-08-20T03:01:09.953617,8.069382e-02,9.843750e-01
14550,2025-08-20T03:03:10.397508,4.539525e-02,9.921875e-01
14600,2025-08-20T03:03:19.586837,3.514157e-02,9.921875e-01
14650,2025-08-20T03:03:28.741719,4.484959e-03,1.000000e+00
14700,2025-08-20T03:03:37.945942,6.336408e-03,1.000000e+00
14750,2025-08-20T03:03:47.346745,4.292737e-02,9.921875e-01
14800,2025-08-20T03:03:56.812068,5.222945e-02,9.921875e-01
14850,2025-08-20T03:04:05.977219,1.920772e-02,9.921875e-01
14900,2025-08-20T03:04:15.221625,1.805069e-02,9.921875e-01
14950,2025-08-20T03:04:24.665994,4.218766e-02,9.921875e-01
15000,2025-08-20T03:04:34.034788,7.118477e-03,1.000000e+00
15050,2025-08-20T03:06:28.322931,6.077032e-02,9.921875e-01
15100,2025-08-20T03:06:37.847742,4.641769e-03,1.000000e+00
15150,2025-08-20T03:06:47.144213,8.466525e-03,1.000000e+00
15200,2025-08-20T03:06:56.371756,4.292304e-03,1.000000e+00
15250,2025-08-20T03:07:05.506474,5.555087e-02,9.921875e-01
15300,2025-08-20T03:07:14.855591,5.119080e-02,9.843750e-01
15350,2025-08-20T03:07:24.319660,7.512844e-03,1.000000e+00
15400,2025-08-20T03:07:33.670290,5.533339e-03,1.000000e+00
15450,2025-08-20T03:07:42.972930,5.659576e-03,1.000000e+00
15500,2025-08-20T03:07:52.386874,3.732579e-03,1.000000e+00
15550,2025-08-20T03:09:46.565806,3.281335e-03,1.000000e+00
15600,2025-08-20T03:09:55.829302,6.801500e-03,1.000000e+00
15650,2025-08-20T03:10:05.710288,4.124134e-02,9.921875e-01
15700,2025-08-20T03:10:15.026950,5.055805e-02,9.921875e-01
15750,2025-08-20T03:10:24.225295,6.246977e-02,9.765625e-01
15800,2025-08-20T03:10:33.455329,1.878033e-02,9.921875e-01
15850,2025-08-20T03:10:42.680672,4.825774e-02,9.921875e-01
15900,2025-08-20T03:10:52.122880,1.001368e-01,9.765625e-01
15950,2025-08-20T03:11:01.540785,9.391133e-02,9.765625e-01
16000,2025-08-20T03:11:10.770914,3.438415e-03,1.000000e+00
16050,2025-08-20T03:13:05.129507,5.275002e-03,1.000000e+00
16100,2025-08-20T03:13:14.328945,6.931300e-03,1.000000e+00
16150,2025-08-20T03:13:23.464523,3.863499e-02,9.921875e-01
16200,2025-08-20T03:13:32.875686,2.633840e-03,1.000000e+00
16250,2025-08-20T03:13:42.326543,6.818945e-03,1.000000e+00
16300,2025-08-20T03:13:51.677774,1.764045e-02,9.921875e-01
16350,2025-08-20T03:14:00.788006,6.995744e-02,9.843750e-01
16400,2025-08-20T03:14:09.979582,9.247535e-02,9.765625e-01
16450,2025-08-20T03:14:19.254128,3.140567e-02,9.921875e-01
16500,2025-08-20T03:14:28.763071,7.011726e-02,9.843750e-01
16550,2025-08-20T03:16:23.232310,1.215853e-02,1.000000e+00
16600,2025-08-20T03:16:32.521940,5.087835e-02,9.921875e-01
16650,2025-08-20T03:16:41.763218,2.020143e-02,9.921875e-01
16700,2025-08-20T03:16:50.958736,9.117831e-03,1.000000e+00
16750,2025-08-20T03:17:00.313346,5.860377e-03,1.000000e+00
16800,2025-08-20T03:17:09.736349,2.025555e-03,1.000000e+00
16850,2025-08-20T03:17:19.252450,3.869534e-03,1.000000e+00
16900,2025-08-20T03:17:28.574012,3.970100e-02,9.921875e-01
16950,2025-08-20T03:17:37.741741,5.979177e-02,9.921875e-01
